"interface","operation","size_mb","mean_sec","std_sec","n"
"dvs1","add",1,0.002,NA,1
"dvs1","add",5,0.004,NA,1
"dvs1","add",10,0.00900000000000001,NA,1
"dvs1","add",50,0.057,NA,1
"dvs1","add",100,0.118,NA,1
"dvs1","add",500,0.512,NA,1
"dvs1","add",1000,1.099,NA,1
"dvs1","add",10000,7.844,NA,1
"dvs1","status",1,0.00320000000000036,0.00549545266561437,5
"dvs1","status",5,0.000999999999999801,0.00141421356237294,5
"dvs1","status",10,0.000600000000000378,0.000547722557505511,5
"dvs1","status",50,0.000400000000000134,0.000547722557505349,5
"dvs1","status",100,0.000399999999999778,0.000547722557504863,5
"dvs1","status",500,0.00100000000000016,0.000000000000000972950712326273,5
"dvs1","status",1000,0.000400000000000134,0.000547722557505349,5
"dvs1","status",10000,0.000600000000000023,0.000547722557505187,5
"dvs2","add",1,0.02,NA,1
"dvs2","add",5,0.032,NA,1
"dvs2","add",10,0.036,NA,1
"dvs2","add",50,0.067,NA,1
"dvs2","add",100,0.109,NA,1
"dvs2","add",500,0.401,NA,1
"dvs2","add",1000,0.877,NA,1
"dvs2","add",10000,7.285,NA,1
"dvs2","status",1,0.00779999999999994,0.00130384048104062,5
"dvs2","status",5,0.00779999999999994,0.00216794833886758,5
"dvs2","status",10,0.00719999999999992,0.000836660026533506,5
"dvs2","status",50,0.00739999999999981,0.00207364413533261,5
"dvs2","status",100,0.00760000000000005,0.00270185121722121,5
"dvs2","status",500,0.00660000000000025,0.00151657508881017,5
"dvs2","status",1000,0.00660000000000025,0.00151657508881017,5
"dvs2","status",10000,0.00680000000000014,0.00148323969741897,5
